destination_region,country_mean,country_median,country_count
Sub-Saharan Africa,9.980289497217836,6.938571428571429,33
Europe & Central Asia,8.303195115546607,6.856410619351409,14
East Asia & Pacific,7.158941041155587,6.256156942520133,13
Latin America & Caribbean,6.589182300999564,5.932592592592592,19
Middle East & North Africa,6.327067245914295,5.138763197430588,9
South Asia,5.228119152584805,4.775708449425194,6
