payment instrument,service_count,avg_cost,median_cost
Bank account transfer,399,15.077510381793902,9.13
Cash,318,9.30454941927191,7.5200000000000005
Credit card,329,6.061722538992301,5.050000000000001
Debit card,392,5.695017130939967,4.665
Mobile money,17,4.7829411764705885,4.78
